Designator,Footprint,Quantity,Value,LCSC Part #
J1,5X2_SHRD_HEADER,1,Conn_02x05_Odd_Even,C5665
J2,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,1,Conn_01x04,C160404
