Designator,Mid X,Mid Y,Rotation,Layer
C1,101.0,-52.65,270.0,top
C2,107.7,-52.75,270.0,top
C3,84.405,-53.45,180.0,top
C4,94.605,-53.45,0.0,top
J1,70.0,-60.0,180.0,top
J2,86.25,-66.7,0.0,top
R1,84.335,-58.05,180.0,top
R2,94.65,-58.05,0.0,top
U1,104.4125,-53.75,270.0,top
U2,89.5625,-55.775,270.0,top
